1 死机
0 机死
1 开机无显示
0 示显无机开
1 光驱读盘速度变慢
0 慢变度速盘读驱光
1 鼠标不可用
0 用可不标鼠
1 电脑频繁死机
0 机死繁频脑电
1 主板并行口失灵
0 灵失口行并板主
1 显示花屏
0 屏花示显
1 屏幕出现异常杂点
0 点杂常异现出幕屏
1 显卡驱动程序丢失
0 失丢序程动驱卡显
1 声卡发出的噪音过大
0 大过音噪的出发卡声
1 声卡无法使用
0 用使法无卡声
1 播放光盘无声
0 声无盘光放播
1 电脑太慢
0 慢太脑电
1 网速太慢
0 慢太速网
1 电脑不断重启
0 启重断不脑电
1 屏蔽弹出式广告
0 告广式出弹蔽屏
1 无线网络无法连接
0 接连法无络网线无
1 网站的安全证书有问题
0 题问有书证全安的站网
1 打印机不工作
0 作工不机印打
1 无法打开电子邮件附件
0 件附件邮子电开打法无
1 软件无法启动
0 动启法无件软
1 缺少运行库
0 库行运少缺
1 蓝屏
0 屏蓝
1 无法上网
0 网上法无
1 电脑没有声音
0 音声有没脑电
1 超频导致死机
0 机死致导频超
1 超频引起电源供电不足
0 足不电供源电起引频超
1 机箱内的风扇噪声
0 声噪扇风的内箱机
1 开机时显示器无显示
0 示显无器示显时机开
1 显示器黑屏
0 屏黑器示显
1 计算机无法启动
0 动启法无机算计
1 主板的接口损坏
0 坏损口接的板主
1 南桥芯片的温度过高
0 高过度温的片芯桥南
1 开机密码设置无效
0 效无置设码密机开
1 主板散热不良的故障处理
0 理处障故的良不热散板主
1 硬件中断冲突
0 突冲断中件硬
1 内存接触不良导致无法开机
0 机开法无致导良不触接存内
1 混插不同的内存
0 存内的同不插混
1 内存增大后容量没变
0 变没量容后大增存内
1 主板不支持高频内存
0 存内频高持支不板主
1 内存频率与标称不符
0 符不称标与率频存内
1 内存不兼容导致系统进入安全模式
0 式模全安入进统系致导容兼不存内
1 温度过高导致内存出错
0 错出存内致导高过度温
1 内存不可读
0 读可不存内
1 随机性死机
0 机死性机随
1 开机找不到硬盘
0 盘硬到不找机开
1 加载系统盘失败
0 败失盘统系载加1 主板不识别大硬盘
0 盘硬大别识不板主
1 主引导程序引起启动故障
0 障故动启起引序程导引主
1 挂接双硬盘无法进入系统
0 统系入进法无盘硬双接挂
